Year,Month,MonthName,Total_Revenue,Orders,Items_Sold
2010,12,Dec 2010,821452.73,1559,358019
2011,1,Jan 2011,689811.61,1086,387099
2011,2,Feb 2011,522545.56,1100,282934
2011,3,Mar 2011,716215.26,1454,376599
2011,4,Apr 2011,536968.49,1246,307953
2011,5,May 2011,769296.61,1681,395001
2011,6,Jun 2011,760547.01,1533,388511
2011,7,Jul 2011,718076.12,1475,399693
2011,8,Aug 2011,757841.38,1361,421020
2011,9,Sep 2011,1056435.19,1837,569573
2011,10,Oct 2011,1151263.73,2040,621029
2011,11,Nov 2011,1503866.78,2769,751377
2011,12,Dec 2011,637790.33,819,313612
