Country,Total_Revenue,Orders,Customers,Country_Group
United Kingdom,9001744.09,18019,3921,United Kingdom
Netherlands,285446.34,94,9,Netherlands
EIRE,283140.52,288,4,EIRE
Germany,228678.4,457,94,Germany
France,209625.37,392,88,France
Australia,138453.81,57,9,Australia
Spain,61558.56,90,30,Spain
Switzerland,57067.6,54,22,Switzerland
Belgium,41196.34,98,25,Belgium
Sweden,38367.83,36,8,Sweden
Japan,37416.37,19,8,Other
Norway,36165.44,36,10,Other
Portugal,33683.05,58,20,Other
Finland,22546.08,41,12,Other
Singapore,21279.29,7,1,Other
Channel Islands,20440.54,26,9,Other
Denmark,18955.34,18,9,Other
Italy,17483.24,38,14,Other
Hong Kong,15483.0,11,1,Other
Cyprus,13502.85,16,8,Other
Austria,10198.68,17,11,Other
Israel,8129.41,8,4,Other
Poland,7334.65,19,6,Other
Greece,4760.52,5,4,Other
Unspecified,4740.94,13,5,Other
Iceland,4310.0,7,1,Other
Canada,3666.38,6,4,Other
USA,3580.39,5,4,Other
Malta,2725.59,5,2,Other
United Arab Emirates,1902.28,3,2,Other
Lebanon,1693.88,1,1,Other
Lithuania,1661.06,4,1,Other
European Community,1300.25,4,1,Other
Brazil,1143.6,1,1,Other
RSA,1002.31,1,1,Other
Czech Republic,826.74,2,1,Other
Bahrain,754.14,3,3,Other
Saudi Arabia,145.92,1,1,Other
