StockCode,Description,Total_Revenue,Units_Sold,Times_Ordered
DOT,DOTCOM POSTAGE,206248.77,706,706
22423,REGENCY CAKESTAND 3 TIER,174156.54,13851,1988
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,104284.24,37580,2189
47566,PARTY BUNTING,99445.23,18283,1685
85099B,JUMBO BAG RED RETROSPOT,94159.81,48371,2089
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92,78033,247
POST,POSTAGE,78101.88,3150,1126
M,Manual,77750.27,6984,289
23084,RABBIT NIGHT LIGHT,66870.03,30739,994
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,64875.59,19329,1160
84879,ASSORTED COLOUR BIRD ORNAMENT,58927.62,36362,1455
79321,CHILLI LIGHTS,54096.36,10302,661
23298,SPOTTY BUNTING,42513.48,8320,1140
22386,JUMBO BAG PINK POLKADOT,42401.01,21448,1218
21137,BLACK RECORD COVER FRAME,40633.38,11651,375
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2
23284,DOORMAT KEEP CALM AND COME IN,38133.64,5487,728
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,38108.89,7483,1385
22960,JAM MAKING SET WITH JARS,37082.13,8695,1132
